Book,Chapter,Verse,Source (Yami),Source (Cleaned),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
Mark,13,22,Ta amyan so tao no makwa a manci no ka si Kizisto da kano malas so ipangnanao a tao. Sira rana am meyvazay sira so mapangyangyalak a vazay a ipeycyakawad da do nipamnekan na ni Ama ta do to a yamraralay nya tao.,ta amyan so tao no makwa a manci no ka si kizisto da kano malas so ipangnanao a tao sira rana am meyvazay sira so mapangyangyalak a vazay a ipeycyakawad da do nipamnekan na ni ama ta do to a yamraralay nya tao,sapagkat darating ang mga bulaang cristo at mga bulaang propeta na magpapakita ng mga tanda at mga kababalaghan upang ililigaw ang mga banal,"Sapagka't may magsisilitaw na mga bulaang Cristo at mga bulaang propeta, at mangagpapakita ng mga tanda at mga kababalaghan, upang mailigaw nila, kung mangyayari, ang mga hirang.",sapagkat may magsisilitaw na mga bulaang cristo at mga bulaang propeta at mangagpapakita ng mga tanda at mga kababalaghan upang mailigaw nila kung mangyayari ang mga hirang,45.782239628499745
1 Corinthians,11,13,"To nyo na naknakman. Manngwa, mazway o ji bonbon do oo da a mavakes do kalwalovotan a meynozi?",to nyo na naknakman manngwa mazway o ji bonbon do oo da a mavakes do kalwalovotan a meynozi,sa inyong sarili ay iniisip ninyo ito ba ay matuwid na ang isang babae ay manalangin na walang talukbong,Hatulan ninyo sa inyong sarili: angkop ba sa isang babae na manalangin sa Diyos nang walang talukbong?,hatulan ninyo sa inyong sarili angkop ba sa isang babae na manalangin sa diyos nang walang talukbong,12.401006001680987
Matthew,16,6,"Maniring si Yeso jira am, “Azimanen nyo o akmey kosozi no odong a yamyan do tao a macyagom do Vadisay a kano macyagom do Satokay.”",maniring si yeso jira am azimanen nyo o akmey kosozi no odong a yamyan do tao a macyagom do vadisay a kano macyagom do satokay,sinabi sa kanila ni jesus magingat kayo at mangagingat kayo sa lebadura ng mga fariseo at mga saduceo,"Sinabi ni Jesus sa kanila, “Mag-ingat kayo at iwasan ninyo ang lebadura ng mga Fariseo at ng mga Saduceo.”",sinabi ni jesus sa kanila magingat kayo at iwasan ninyo ang lebadura ng mga fariseo at ng mga saduceo,32.9416463622159
Luke,22,43,Amyan so asa ka tinsi a nimapo do teyngato a nimangay a omait do oyowyat na.,amyan so asa ka tinsi a nimapo do teyngato a nimangay a omait do oyowyat na,at narito ang isa pang anghel na mula sa langit ay lumapit sa kanya upang ipakita sa kanya ang kanyang kapangyarihan,Nagpakita sa kanya ang isang anghel na mula sa langit na nagpalakas sa kanya.,nagpakita sa kanya ang isang anghel na mula sa langit na nagpalakas sa kanya,24.987807848117903
Hebrews,2,4,"Yakman sang, ta nioyatan na sira ni Ama ta do to a mapeyvazay so makakaday a yamapeyzokab a vazay a yongkad no kanoyong no ipangnanao da. So yana ikakman sang ni Ama ta do to a yamangozay do nakem na a yamvonong so teneteneng a kano oyowyat no Seyzi do omanoyong jya tao a isidong da so icyatatao da.",yakman sang ta nioyatan na sira ni ama ta do to a mapeyvazay so makakaday a yamapeyzokab a vazay a yongkad no kanoyong no ipangnanao da so yana ikakman sang ni ama ta do to a yamangozay do nakem na a yamvonong so teneteneng a kano oyowyat no seyzi do omanoyong jya tao a isidong da so icyatatao da,sa pamamagitan ng mga tanda at mga kababalaghan at ng mga tanda at ng mga kaloob na ibinigay ng diyos ayon sa kanyang kalooban sa lahat ng mga tao,"na pawang pinatotohanan din ng Diyos sa pamamagitan ng mga tanda at ng mga kababalaghan at iba't ibang himala at ng mga kaloob ng Espiritu Santo, na ipinamahagi ayon sa kanyang kalooban.",na pawang pinatotohanan din ng diyos sa pamamagitan ng mga tanda at ng mga kababalaghan at ibat ibang himala at ng mga kaloob ng espiritu santo na ipinamahagi ayon sa kanyang kalooban,42.10736320776354
Luke,6,19,Ori o naknakman da sya no aro a tao so kapinan da jya. Ta amyan so oyowyat na do kataotao na mangiwakwak so tao. So nikamimin da mapya rana so ingingnen.,ori o naknakman da sya no aro a tao so kapinan da jya ta amyan so oyowyat na do kataotao na mangiwakwak so tao so nikamimin da mapya rana so ingingnen,at pinagsisikapan ng buong bayan na siyay hipuin sapagkat may kapangyarihang lumabas sa kaniya sa mga tao at silay lahat ay pinagaling,"Pinagsikapan ng lahat na siya'y mahipo, sapagkat may kapangyarihang nanggagaling sa kanya at pinagaling niya ang lahat.",pinagsikapan ng lahat na siyay mahipo sapagkat may kapangyarihang nanggagaling sa kanya at pinagaling niya ang lahat,9.614272376566879
Acts,28,27,Ta tey masalit o onowned da no tao eya. O cicilwan da am yakacilcilan. O mata da am yameyreket. Ta no sira macipayok so onowned am makacita o mata da. Makamizing o cicilwan da. Makazazap da no onowned a kapeysinaoli da rana jyaken. Ta ori o ipatazadang ko sira do teyngato.’ ”,ta tey masalit o onowned da no tao eya o cicilwan da am yakacilcilan o mata da am yameyreket ta no sira macipayok so onowned am makacita o mata da makamizing o cicilwan da makazazap da no onowned a kapeysinaoli da rana jyaken ta ori o ipatazadang ko sira do teyngato ,sapagkat matigas ang puso ng bayang ito at ang kanilang mga tainga ay nakataling at ang kanilang mga mata ay nakataling upang huwag silang makakita ng kanilang mga mata at makarinig ng kanilang mga tainga at makarinig ng kanilang puso at mabalik sila at silay aking iligtas,"Sapagkat pumurol na ang puso ng bayang ito, at mahirap nang makarinig ang kanilang mga tainga, at pumikit na ang kanilang mga mata; baka sila'y makakita sa kanilang mga mata, at makarinig sa kanilang mga tainga, at makaunawa sa kanilang puso, at magbalik-loob, at sila'y aking pagalingin.’",sapagkat pumurol na ang puso ng bayang ito at mahirap nang makarinig ang kanilang mga tainga at pumikit na ang kanilang mga mata baka silay makakita sa kanilang mga mata at makarinig sa kanilang mga tainga at makaunawa sa kanilang puso at magbalikloob at silay aking pagalingin,37.77019671398087
Ephesians,3,2,Nyo katenngan yaken a na nipamnekan ni Ama ta do to a yameylimwang nya jinyo so pangangarilawan na.,nyo katenngan yaken a na nipamnekan ni ama ta do to a yameylimwang nya jinyo so pangangarilawan na,sapagkat nalalaman ninyo ang patotoo ng biyaya ng diyos sa inyo,kung tunay na inyong narinig ang pagkakatiwala ng biyaya ng Diyos na ibinigay sa akin para sa inyo;,kung tunay na inyong narinig ang pagkakatiwala ng biyaya ng diyos na ibinigay sa akin para sa inyo,15.346045997412023
John,4,53,"Naknakmen na am todey meyyangay o cinapya na no kapacisirsiring na jya. Ta maniring si Yeso jya no kano nang am, “Yapya rana o anak mo.” Am ori o nipacipindan no kanoyong da na jya nira ori a asa ka vahay.",naknakmen na am todey meyyangay o cinapya na no kapacisirsiring na jya ta maniring si yeso jya no kano nang am yapya rana o anak mo am ori o nipacipindan no kanoyong da na jya nira ori a asa ka vahay,nalaman niya ito at sinabi sa kanya ni jesus sa oras ding yaon mabubuhay ang anak mo at ang buong sambahayan ay nanirahan sa kanya,"Kaya't nalaman ng ama na sa oras na iyon ay sinabi sa kanya ni Jesus, “Ang anak mo ay mabubuhay.” Kaya't siya'y sumampalataya, at ang kanyang buong sambahayan.",kayat nalaman ng ama na sa oras na iyon ay sinabi sa kanya ni jesus ang anak mo ay mabubuhay kayat siyay sumampalataya at ang kanyang buong sambahayan,22.348818824117757
John,13,18,"“Beken a ko to zagoma inyo a yapeyciringan sya, ta ko katenngan sira o yako nitenngan a tao. Am manoyong o ciring do Seysyo an. Ta maniring am, ‘O yamacihanghang jyaken a asa ka tao am yamanazang nyaken.’ So ipangononong no ciring ang.",beken a ko to zagoma inyo a yapeyciringan sya ta ko katenngan sira o yako nitenngan a tao am manoyong o ciring do seysyo an ta maniring am o yamacihanghang jyaken a asa ka tao am yamanazang nyaken so ipangononong no ciring ang,hindi ako nagsasalita tungkol sa inyo alam ko ang mga pinuno ng hukbo upang matupad ang kasulatan ang kumikilos sa akin ay nagsalita ng laban sa akin,"Hindi ko sinasalita tungkol sa inyong lahat: nalalaman ko ang aking mga hinirang: nguni't upang matupad ang kasulatan, Ang kumakain ng aking tinapay ay nagtaas ng kaniyang sakong laban sa akin.",hindi ko sinasalita tungkol sa inyong lahat nalalaman ko ang aking mga hinirang ngunit upang matupad ang kasulatan ang kumakain ng aking tinapay ay nagtaas ng kaniyang sakong laban sa akin,19.439952971802906
Acts,10,24,Ikatlo na araw am makaranes rana sira do Kaysadiya. Am amyan rana do dang si Kenaylyo a kano zipozipos na kano kagakagagan na amnanala sya.,ikatlo na araw am makaranes rana sira do kaysadiya am amyan rana do dang si kenaylyo a kano zipozipos na kano kagakagagan na amnanala sya,pagkaraan ng tatlong araw siyay pumasok sa cesarea at hinihintay siya ni cornelio na kasama ang kanyang mga kamaganak at mga kaibigan,"Nang sumunod na araw ay dumating sila sa Cesarea. Sila'y hinihintay ni Cornelio, at tinipon ang kanyang mga kamag-anak at ang kanyang malalapit na kaibigan.",nang sumunod na araw ay dumating sila sa cesarea silay hinihintay ni cornelio at tinipon ang kanyang mga kamaganak at ang kanyang malalapit na kaibigan,20.19664659932855
Matthew,20,20,O mavakes ni Sipitay a kano rarwa ka anak na mahakay am mangay sira ji Yeso a kapeylilitod no mavakes do tangain ni Yeso a mapasyasi jya.,o mavakes ni sipitay a kano rarwa ka anak na mahakay am mangay sira ji yeso a kapeylilitod no mavakes do tangain ni yeso a mapasyasi jya,at lumapit sa kaniya ang ina ng mga anak na lalake ni zebedeo na kasama ang kaniyang mga anak na lalake at siyay sinamba,"Pagkatapos ay lumapit kay Jesus ang ina ng mga anak ni Zebedeo, na kasama ang kanyang mga anak na lalaki. Siya'y lumuhod sa kanya at may hiniling na isang bagay sa kanya.",pagkatapos ay lumapit kay jesus ang ina ng mga anak ni zebedeo na kasama ang kanyang mga anak na lalaki siyay lumuhod sa kanya at may hiniling na isang bagay sa kanya,26.865661811324234
Mark,7,32,Makarahan am yai da no tao o ji makamizing a ji makabnebnek a tao do tangain ni Yeso. Ta ipanci da si Yeso a mapaopta so lima na jya.,makarahan am yai da no tao o ji makamizing a ji makabnebnek a tao do tangain ni yeso ta ipanci da si yeso a mapaopta so lima na jya,at dinala nila sa kaniya ang isang bingi at pipi at kanilang ipinamanhik sa kaniya na ipatong niya ang kaniyang kamay sa kaniya,"Dinala nila sa kanya ang isang bingi at may kapansanan sa pagsasalita, at siya'y pinakiusapan nila na ipatong ang kanyang kamay sa kanya.",dinala nila sa kanya ang isang bingi at may kapansanan sa pagsasalita at siyay pinakiusapan nila na ipatong ang kanyang kamay sa kanya,19.28576545653752
Mark,4,23,"Amizngen nyo an, peyyanen nyo do onowned nyo ori an.”",amizngen nyo an peyyanen nyo do onowned nyo ori an,ang may pandinig ay makinig,"Kung ang sinuman ay may taingang ipandirinig, hayaan siyang makinig.”",kung ang sinuman ay may taingang ipandirinig hayaan siyang makinig,5.55750946374376
John,7,45,"Meysinaoli sira o mamzamzat a tao do panipanirsirngen no mapatanatanang so nakem da si Ama ta do to a kano tao a macyagom do Vadisay am maniring sira am, “Ikongo nyo ji maciralai ji Yeso a yai.”",meysinaoli sira o mamzamzat a tao do panipanirsirngen no mapatanatanang so nakem da si ama ta do to a kano tao a macyagom do vadisay am maniring sira am ikongo nyo ji maciralai ji yeso a yai,bumalik ang mga kawal sa mga punong pari at sa mga fariseo at sinabi nila sa kanila bakit hindi ninyo siya dinala,"Nagsidating nga ang mga punong kawal sa mga pangulong saserdote at sa mga Fariseo; at sinabi nila sa kanila, Bakit hindi ninyo siya dinala?",nagsidating nga ang mga punong kawal sa mga pangulong saserdote at sa mga fariseo at sinabi nila sa kanila bakit hindi ninyo siya dinala,66.23934495713625
Matthew,22,35,Amyan jira so asa ka mangnanao no iwawalam ni Ama ta do to a amnakenakem so keyleylamdam na si Yeso no asa ka ciring.,amyan jira so asa ka mangnanao no iwawalam ni ama ta do to a amnakenakem so keyleylamdam na si yeso no asa ka ciring,at isa sa kanila na tagapagtanggol ng kautusan ay tinanong siya ng isang tanong upang siyay subukin,"At isa sa kanila, na tagapagtanggol ng kautusan, ay nagtanong sa kanya upang siya'y subukin.",at isa sa kanila na tagapagtanggol ng kautusan ay nagtanong sa kanya upang siyay subukin,56.35190098079901
John,10,31,Karahan am mangap sira o tao do Yotay so veysen a igseh da jya.,karahan am mangap sira o tao do yotay so veysen a igseh da jya,at ang mga judio ay nagdala ng mga bato upang siyay batuhin,Muling dumampot ng mga bato ang mga Judio upang siya'y batuhin.,muling dumampot ng mga bato ang mga judio upang siyay batuhin,28.73539322585947
Mark,9,2,Mavitos o ikanem na araw am palolwen na ni Yeso si Pite a kani Yake a kani Yowani a mangay do makarang a tokon. Makarahan am todablis o keyteytawan na ni Yeso do tangain da.,mavitos o ikanem na araw am palolwen na ni yeso si pite a kani yake a kani yowani a mangay do makarang a tokon makarahan am todablis o keyteytawan na ni yeso do tangain da,at pagkaraan ng anim na araw ay isinama ni jesus si pedro at si santiago at si juan at dinala sila sa isang mataas na bundok at siyay nagbalik sa harapan nila,"Pagkaraan ng anim na araw, isinama ni Jesus sina Pedro, Santiago at Juan, at dinala silang bukod sa isang mataas na bundok. Siya'y nagbagong-anyo sa harap nila;",pagkaraan ng anim na araw isinama ni jesus sina pedro santiago at juan at dinala silang bukod sa isang mataas na bundok siyay nagbagonganyo sa harap nila,32.09011486757503
James,1,26,No myan so tao a mapakakdekdeng so nakem ji Ama ta do to a kaji na amzatan do ciring na am alalasan na o kataotao na. So ikabo no peypeypangayan na no kararalay na ni Ama ta do to.,no myan so tao a mapakakdekdeng so nakem ji ama ta do to a kaji na amzatan do ciring na am alalasan na o kataotao na so ikabo no peypeypangayan na no kararalay na ni ama ta do to,kung ang sinomang tao ay nagmamalaki ng katuwiran ngunit hindi niya tinutupad ang kanyang sarili iniwan niya ang kanyang sarili ang katuwiran ay walang kabuluhan,"Kung inaakala ng sinuman na siya'y relihiyoso, subalit hindi pinipigil ang kanyang dila, kundi dinadaya ang kanyang puso, ang relihiyon ng taong iyon ay walang kabuluhan.",kung inaakala ng sinuman na siyay relihiyoso subalit hindi pinipigil ang kanyang dila kundi dinadaya ang kanyang puso ang relihiyon ng taong iyon ay walang kabuluhan,8.864585825134634
2 Peter,1,9,"O ji mangononong do akman sang a vazay a tao am akmey mavota, do kato na rana makahamangan do mina kavonas na rana no raraten na no kakwa.",o ji mangononong do akman sang a vazay a tao am akmey mavota do kato na rana makahamangan do mina kavonas na rana no raraten na no kakwa,sapagkat ang sinomang hindi gumagawa ng mga bagay na ito ay bulag sa kanyang sarili sapagkat ipinatatawad na ang kanyang mga unang kasalanan,"Sapagkat sinumang wala ng mga bagay na ito ay bulag at ang nasa malapit lamang ang nakikita, at nakalimutan na siya ay nilinis mula sa kanyang dating mga kasalanan.",sapagkat sinumang wala ng mga bagay na ito ay bulag at ang nasa malapit lamang ang nakikita at nakalimutan na siya ay nilinis mula sa kanyang dating mga kasalanan,24.289057288010348
Luke,17,6,"Maniring si Yeso am, “Tana akman kamo so alikey a vettow no nappa so kakdekdeng no nakem am tana to mo nirsirnga o kayo a manci no, ‘To ka botbot a kangay mo amlida do awa,’ am jyabo kaji na ngonotan jinyo a.",maniring si yeso am tana akman kamo so alikey a vettow no nappa so kakdekdeng no nakem am tana to mo nirsirnga o kayo a manci no to ka botbot a kangay mo amlida do awa am jyabo kaji na ngonotan jinyo a,at sinabi niya sa kanila kahit kayoy maging tulad sa isang maliit na binhi ng mostasa ay sasabihin ninyo sa puno ng igos ito magbunga ka at matitikman mo ang iyong sarili sa dagat at kayoy susunugin niya,"Sinabi ng Panginoon, “Kung mayroon kayong pananampalataya na kasinglaki ng isang binhi ng mustasa, masasabi ninyo sa puno ng sikomorong ito, ‘Mabunot ka, at matanim ka sa dagat,’ susundin kayo nito.",sinabi ng panginoon kung mayroon kayong pananampalataya na kasinglaki ng isang binhi ng mustasa masasabi ninyo sa puno ng sikomorong ito mabunot ka at matanim ka sa dagat susundin kayo nito,9.868209342887882
2 Corinthians,4,12,"Tana masangib namen a toda jyangangay so inawan am cyaha, ta ipakasidong namen jinyo a makahap so to meyyonong a ikavyay no pahad nyo.",tana masangib namen a toda jyangangay so inawan am cyaha ta ipakasidong namen jinyo a makahap so to meyyonong a ikavyay no pahad nyo,sapagkat bagaman kami ay nagdurusa sa lahat ng mga bagay upang kayoy magkaroon ng buhay na walang hanggan,"Kaya't ang kamatayan ay gumagawa sa amin, subalit ang buhay ay sa inyo.",kayat ang kamatayan ay gumagawa sa amin subalit ang buhay ay sa inyo,2.8265205879007453
Mark,10,49,"Makarahan am mina to neyked si Yeso. Maniring am, “Rarrey kamo jya.” Maniring sira do mavota tao am, “Cyaha, tanek rana, ta na ipanci imo.”",makarahan am mina to neyked si yeso maniring am rarrey kamo jya maniring sira do mavota tao am cyaha tanek rana ta na ipanci imo,si jesus ay tumigil at sinabi tawagin ninyo siya sinabi nila sa lalaking bulag tumayo ka at sasabihin niya sa iyo,"At tumigil si Jesus, at sinabi, Tawagin ninyo siya. At tinawag nila ang lalaking bulag, na sinasabi sa kaniya, Laksan mo ang iyong loob; ikaw ay magtindig, tinatawag ka niya.",at tumigil si jesus at sinabi tawagin ninyo siya at tinawag nila ang lalaking bulag na sinasabi sa kaniya laksan mo ang iyong loob ikaw ay magtindig tinatawag ka niya,16.393080261329562
Matthew,28,7,"a kangay nyo na manci nya do macinanao jya, ta yarana nimirwa mavyay. So ipanmanma na mangay do Cyadidi a ka ninyo. Cyaha, ta to nyo na cita do dang. Peyyanen nyo do onowned nyo o ko nipanci jinyo a ciring ang.”",a kangay nyo na manci nya do macinanao jya ta yarana nimirwa mavyay so ipanmanma na mangay do cyadidi a ka ninyo cyaha ta to nyo na cita do dang peyyanen nyo do onowned nyo o ko nipanci jinyo a ciring ang,at magsiparoon kayo at sabihin ninyo sa kaniyang mga alagad na siyay nagbangon sa mga patay at siyay una sa inyo sa galilea at narito makikita ninyo siyay sinabi ko sa inyo,Pagkatapos ay magmadali kayong umalis at sabihin ninyo sa kanyang mga alagad na siya'y binuhay mula sa mga patay. Siya'y mauuna sa inyo sa Galilea. Makikita ninyo siya roon. Ito ang nasabi ko na sa inyo.”,pagkatapos ay magmadali kayong umalis at sabihin ninyo sa kanyang mga alagad na siyay binuhay mula sa mga patay siyay mauuna sa inyo sa galilea makikita ninyo siya roon ito ang nasabi ko na sa inyo,25.19422154571562
Luke,4,37,Am ori o nipeylimwangan na rana do dang no ngaran ni Yeso.,am ori o nipeylimwangan na rana do dang no ngaran ni yeso,at lumaganap ang balita tungkol sa kanya sa lahat ng dako,At kumakalat ang alingawngaw tungkol sa kaniya sa lahat ng dako sa palibotlibot ng lupaing yaon.,at kumakalat ang alingawngaw tungkol sa kaniya sa lahat ng dako sa palibotlibot ng lupaing yaon,19.03080307861312
Mark,7,27,"Maniring si Yeso jya am, “Panmanmahen o kabsoy so anak, ta malas o kawasik no kanen no anak do ino.”",maniring si yeso jya am panmanmahen o kabsoy so anak ta malas o kawasik no kanen no anak do ino,datapuwat sinabi sa kaniya ni jesus pabayaan mo muna ang mga anak na mangagugutom sapagkat hindi karapatdapat ang mga anak sa pagkain,"At sinabi niya sa kaniya, Pabayaan mo munang mangabusog ang mga anak: sapagka't hindi marapat na kunin ang tinapay ng mga anak at itapon sa mga aso.",at sinabi niya sa kaniya pabayaan mo munang mangabusog ang mga anak sapagkat hindi marapat na kunin ang tinapay ng mga anak at itapon sa mga aso,10.080763917192355
Matthew,27,62,Ikadwa na araw am araraw no ipeywalam no tao do Yotay. O panipanirsirngen no mapatanatanang so nakem da si Ama ta do to a kano tao a macyagom do Vadisay am mangay sira ji Pilato.,ikadwa na araw am araraw no ipeywalam no tao do yotay o panipanirsirngen no mapatanatanang so nakem da si ama ta do to a kano tao a macyagom do vadisay am mangay sira ji pilato,kinabukasan pagkatapos ng araw ng paghahanda ang mga pangulong saserdote at ang mga fariseo ay nagtipon kay pilato,"Kinabukasan, pagkatapos ng araw ng Paghahanda, ang mga punong pari at ang mga Fariseo ay nagpulong sa harapan ni Pilato,",kinabukasan pagkatapos ng araw ng paghahanda ang mga punong pari at ang mga fariseo ay nagpulong sa harapan ni pilato,53.948230957280764
Romans,6,7,Ta no mawakwak rana o tao am ji na rana nalamozongan no raraten.,ta no mawakwak rana o tao am ji na rana nalamozongan no raraten,sapagkat ang namatay ay pinalaya na mula sa kasalanan,sapagkat ang namatay ay pinalaya na mula sa kasalanan.,sapagkat ang namatay ay pinalaya na mula sa kasalanan,100.00000000000004
Matthew,10,23,No peyrarehten da inyo do asa ka ili am to kamo na nayo a mangay do asa ka ili. To ko na macitangayan jinyo am ji nyo pa nilivon o ili do Isedi a peylimwangan no ciriciring ko am meyhekas ko rana a Nipamnekan na ni Ama ta do to a tao.,no peyrarehten da inyo do asa ka ili am to kamo na nayo a mangay do asa ka ili to ko na macitangayan jinyo am ji nyo pa nilivon o ili do isedi a peylimwangan no ciriciring ko am meyhekas ko rana a nipamnekan na ni ama ta do to a tao,at kapag kayoy kanilang pinagusig sa isang bayan ay magsialis kayo sa ibang bayan sapagkat katotohanang sinasabi ko sa inyo hindi ninyo matatapos ang lahat ng mga bayan ng israel bago dumating ang anak ng tao,"Kapag inuusig nila kayo sa isang bayan, tumakas kayo tungo sa kasunod, sapagkat katotohanang sinasabi ko sa inyo, ‘Hindi ninyo mapupuntahan lahat ang mga bayan ng Israel, bago dumating ang Anak ng Tao.’",kapag inuusig nila kayo sa isang bayan tumakas kayo tungo sa kasunod sapagkat katotohanang sinasabi ko sa inyo hindi ninyo mapupuntahan lahat ang mga bayan ng israel bago dumating ang anak ng tao,50.07938801155306
Luke,2,40,"Meyparako rana o kanakan am meypakatkat rana o teneng na, ta oyatan na ni Ama ta do to.",meyparako rana o kanakan am meypakatkat rana o teneng na ta oyatan na ni ama ta do to,at lumaki ang sanggol at lumaki at lumaki sa karunungan at sa kapangyarihan ng dios,"At lumalaki ang bata, at lumalakas, at napupuspos ng karunungan: at sumasa kaniya ang biyaya ng Dios.",at lumalaki ang bata at lumalakas at napupuspos ng karunungan at sumasa kaniya ang biyaya ng dios,7.735984567871263
Matthew,13,33,"Ipanci na pa ni Yeso o asa ka pehngehngayan na so ciring na. Maniring am, “O ipeyparo da no tao a macikaop do italamozong na ni Ama ta do to am akman rana so kosozi no odong a ahapen no mavakes a pazavozen do odong a ipeymway na sya.”",ipanci na pa ni yeso o asa ka pehngehngayan na so ciring na maniring am o ipeyparo da no tao a macikaop do italamozong na ni ama ta do to am akman rana so kosozi no odong a ahapen no mavakes a pazavozen do odong a ipeymway na sya,nagsalaysay siya sa kanila ng isa pang talinghaga na sinasabi ang kaharian ng langit ay tulad sa lebadura na kinuha ng isang babae at itinago sa tatlong takal na harina,"Sinalita niya sa kanila ang ibang talinghaga: Ang kaharian ng langit ay tulad sa lebadura, na kinuha ng isang babae, at itinago sa tatlong takal na harina, hanggang sa ito'y nalebadurahang lahat.",sinalita niya sa kanila ang ibang talinghaga ang kaharian ng langit ay tulad sa lebadura na kinuha ng isang babae at itinago sa tatlong takal na harina hanggang sa itoy nalebadurahang lahat,63.62921818162912
Romans,1,17,"Ta o Mapasaray a Ciriciring na ni Ama ta do to o ipakateneng ta do kabnek na jyaten ni Ama ta do to a abo so raraten do tangain na. O yapwan na no nya am amyapo do kapeyhanhan ta nya. Ta maniring do Seysyo am, “O tao rana a abneken na ni Ama ta do to a abo so raraten do tangain na am mahap da o to meyyonong a ikavyay no pahad da.”",ta o mapasaray a ciriciring na ni ama ta do to o ipakateneng ta do kabnek na jyaten ni ama ta do to a abo so raraten do tangain na o yapwan na no nya am amyapo do kapeyhanhan ta nya ta maniring do seysyo am o tao rana a abneken na ni ama ta do to a abo so raraten do tangain na am mahap da o to meyyonong a ikavyay no pahad da,sapagkat ito ang ebanghelyo ng katuwiran sa pamamagitan ng pananampalataya gaya ng nasusulat ang katuwiran ay mabubuhay,"Sapagkat dito ang katuwiran ng Diyos ay nahahayag mula sa pananampalataya hanggang sa pananampalataya; gaya ng nasusulat, “Ngunit ang taong matuwid ay mabubuhay sa pamamagitan ng pananampalataya.”",sapagkat dito ang katuwiran ng diyos ay nahahayag mula sa pananampalataya hanggang sa pananampalataya gaya ng nasusulat ngunit ang taong matuwid ay mabubuhay sa pamamagitan ng pananampalataya,19.65226494129314
Luke,12,28,O tamek rana am amyan pa sicyaraw eya. Am simaraw am mahayo rana a kapasleb rana sya do apoy. Tana akman sang o tamek a ji meyyonownay do tana am yana padketan ni Ama ta do to so na ikazway a savong na. Kakwakwan na rana no tamek am imanngo kamo na. Ta jyabo kaji na mantan ninyo so ayob nyo a. Am nyo kaji makanetan so nakenakem ji Ama ta do to.,o tamek rana am amyan pa sicyaraw eya am simaraw am mahayo rana a kapasleb rana sya do apoy tana akman sang o tamek a ji meyyonownay do tana am yana padketan ni ama ta do to so na ikazway a savong na kakwakwan na rana no tamek am imanngo kamo na ta jyabo kaji na mantan ninyo so ayob nyo a am nyo kaji makanetan so nakenakem ji ama ta do to,gayon din naman ang damo sa lupa na ngayon ay nabubuhay at bukas ay itinatapon sa apoy hindi ba kayoy tatanggapin ng diyos na gaya ng damo na ngayon ay nabubuhay at ngayon ay natutuyo hindi ba kayoy tatanggapin ng diyos na walang kabuluhan,"Nguni't kung pinararamtan ng Dios ng ganito ang damo sa parang, na ngayon ay buháy , at sa kinabukasan ay iginagatong sa kalan; gaano pa kaya kayo na di niya pararamtan , Oh kayong mga kakaunti ang pananampalataya?",ngunit kung pinararamtan ng dios ng ganito ang damo sa parang na ngayon ay buháy  at sa kinabukasan ay iginagatong sa kalan gaano pa kaya kayo na di niya pararamtan  oh kayong mga kakaunti ang pananampalataya,6.195434067782696
John,14,30,Alikey rana o yako ipacikaop jinyo a macisirsiring jinyo. Ta yarana myan o yamimong no karawan. Am ji na harag yaken no oyowyat na.,alikey rana o yako ipacikaop jinyo a macisirsiring jinyo ta yarana myan o yamimong no karawan am ji na harag yaken no oyowyat na,hindi na ako makikipagusap pa sa inyo ng kaunting panahon sapagkat dumarating ang prinsipe ng sanlibutan at wala siyang kapangyarihan sa akin,"Hindi na ako magsasalita pa ng marami sa inyo, sapagka't dumarating ang prinsipe ng sanglibutan: at siya'y walang anoman sa akin;",hindi na ako magsasalita pa ng marami sa inyo sapagkat dumarating ang prinsipe ng sanglibutan at siyay walang anoman sa akin,27.19326877457978
Hebrews,13,10,Sira rana yamyan do akmey sarwap a panaralayan a yamapatanatanang no tao do Yotay so nakem da am abo kasngesngenan da jyaten a macizanod do mina vazay na jyaten ni Yeso Kizisto.,sira rana yamyan do akmey sarwap a panaralayan a yamapatanatanang no tao do yotay so nakem da am abo kasngesngenan da jyaten a macizanod do mina vazay na jyaten ni yeso kizisto,tayo ay may mga pari sa tabernakulo at wala silang karapatang maglingkod sa atin,"Tayo ay may isang dambana, na kung saan ang mga naglilingkod sa tabernakulo ay walang karapatang kumain.",tayo ay may isang dambana na kung saan ang mga naglilingkod sa tabernakulo ay walang karapatang kumain,11.670054700674017
Matthew,10,27,O ko ipanci jinyo a ji da mamizing no karwan no tao am ipeylimwang nyo do aro a tao.,o ko ipanci jinyo a ji da mamizing no karwan no tao am ipeylimwang nyo do aro a tao,ang sinasabi ko sa inyo sa lihim ay ipangaral ninyo sa lihim,"Anumang sinasabi ko sa inyo sa dilim, sabihin ninyo sa liwanag; at ang narinig ninyo sa bulong ay ipagsigawan ninyo sa ibabaw ng mga bubungan.",anumang sinasabi ko sa inyo sa dilim sabihin ninyo sa liwanag at ang narinig ninyo sa bulong ay ipagsigawan ninyo sa ibabaw ng mga bubungan,13.141687693273935
