Book,Chapter,Verse,Source (Pangasinan),Source (Cleaned),Pivot (Bikolano),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
Mark,5,27,"Nadngelan toy ibabaga ray totoo nipaakar ed kinen Jesus, kanyan akiletletan ya anggad impakaasingger to. Diniwit toy kawes nen Jesus,",nadngelan toy ibabaga ray totoo nipaakar ed kinen jesus kanyan akiletletan ya anggad impakaasingger to diniwit toy kawes nen jesus,nadangog niya an ginigibo kan mga tawo dapit ki jesus kaya nagribok siya asin dinutaan an gubing ni jesus,sapagkat nabalitaan niya ang tungkol kay jesus sa maraming tao lumapit siya at hinipo ang kanyang damit,"Narinig niya ang tungkol kay Jesus, lumapit siya sa karamihan sa likuran niya, at hinipo ang kanyang damit.",narinig niya ang tungkol kay jesus lumapit siya sa karamihan sa likuran niya at hinipo ang kanyang damit,44.39719086407068
2 Kings,13,12,"Nisulat ed libron Say Awaran da ray Ararid Israel iray arum nin ginagawa nen Ari Jehoas, pati say inkasebeg ton akibakal ed ari Amasias na Juda.",nisulat ed libron say awaran da ray ararid israel iray arum nin ginagawa nen ari jehoas pati say inkasebeg ton akibakal ed ari amasias na juda,an iba pang ginibo ni jehoas asin an saiyang kaisogan laban ki hadeng amazias nin juda gabos nasusurat sa an kasaysayan kan mga hade nin israel ,ang iba pa sa mga gawa ni jehoas na kanyang ginawa at ang kanyang katapangan laban kay amasias na hari ng juda di ba nakasulat ang mga iyon sa aklat ng mga kasaysayan ng mga hari ng israel,"Ang iba sa mga gawa ni Joas, at ang lahat niyang ginawa, at ang kanyang kapangyarihan na kanyang ipinakipaglaban kay Amasias na hari ng Juda, hindi ba't ang mga iyon ay nakasulat sa Aklat ng mga Kasaysayan ng mga Hari ng Israel?",ang iba sa mga gawa ni joas at ang lahat niyang ginawa at ang kanyang kapangyarihan na kanyang ipinakipaglaban kay amasias na hari ng juda hindi bat ang mga iyon ay nakasulat sa aklat ng mga kasaysayan ng mga hari ng israel,49.08442092891088
John,12,42,"Anggaman ontan, dakel ed saray manoley na Judio so anisiad sikato. Balet ag da ibawag lapud antakot irad saray Pariseo, ta ompan papawayen da rad sinagoga.",anggaman ontan dakel ed saray manoley na judio so anisiad sikato balet ag da ibawag lapud antakot irad saray pariseo ta ompan papawayen da rad sinagoga,alagad dakul sa mga lider an nagtubod ki jesus alagad dai ninda ini ipinahayag huli ta takot sinda sa mga fariseo ta tibaad papaluwason sinda sa sinagoga,gayunmay marami sa mga pinuno ang sumampalataya sa kanya subalit dahil sa mga fariseo ay hindi nila ito ipinahayag baka silay palalayasin sa sinagoga,"Gayon man maging sa mga pinuno ay maraming nagsisampalataya sa kaniya; datapuwa't dahil sa mga Fariseo ay hindi nila ipinahayag, baka sila'y mapalayas sa sinagoga:",gayon man maging sa mga pinuno ay maraming nagsisampalataya sa kaniya datapuwat dahil sa mga fariseo ay hindi nila ipinahayag baka silay mapalayas sa sinagoga,35.76241248600898
John,10,8,"Tutulisan tan matatakew iray inmona nen siak, balet ag ira dinengel na saray karniro.",tutulisan tan matatakew iray inmona nen siak balet ag ira dinengel na saray karniro,an gabos na naenot sako mga parahabon asin mga parahabon alagad dai sinda dinangog kan mga karnero,ang lahat ng nangunguna sa akin ay mga magnanakaw at mga tulisan ngunit hindi sila pinakinggan ng mga tupa,Ang lahat ng nangauna sa aking nagsiparito ay mga magnanakaw at mga tulisan: datapuwa't hindi sila dininig ng mga tupa.,ang lahat ng nangauna sa aking nagsiparito ay mga magnanakaw at mga tulisan datapuwat hindi sila dininig ng mga tupa,39.159269732992946
Psalms,107,28,"Insan diad inkagunigon da, tinmawag irad Katawan , et inyagel to rad paniirap da.",insan diad inkagunigon da tinmawag irad katawan  et inyagel to rad paniirap da,dangan sa saindang kasakitan nagapod sinda sa kagurangnan asin ilinigtas niya sinda sa saindang kahorasaan,nang magkagayoy dumaing sila sa panginoon sa kanilang kabagabagan at iniligtas niya sila sa kanilang kahirapan,"Nang magkagayo'y dumaing sila sa Panginoon sa kanilang kahirapan, at iniligtas niya sila sa kanilang kapighatian.",nang magkagayoy dumaing sila sa panginoon sa kanilang kahirapan at iniligtas niya sila sa kanilang kapighatian,79.16963878457506
Luke,13,25,"No inmalagey lay panguloy pamilya tan inkaput to lay puirta, wala kayod paway tan ontoktok kayo. ‘Katawan,’ inkuanyo, ‘lokasan mo kami pa!’ Onebat ed satan, ‘Ag ko amta no taga iner kayo!’",no inmalagey lay panguloy pamilya tan inkaput to lay puirta wala kayod paway tan ontoktok kayo katawan inkuanyo lokasan mo kami pa onebat ed satan ag ko amta no taga iner kayo,kun serahan na kan kagurangnan an pintoan kan saiyang harong kamo na sana an magluwas saka magtoktok kagurangnan bukasan mo kami an sabi niya saindo dai ko aram kun saen kamo hale,sapagkat sinabi niya sa inyo hindi ko nalalaman kung saan kayo nanggaling o panginoon buksan mo kami at kayoy lalabas na magisa at magtuktok,"Kapag tumayo na ang may-ari ng bahay at maisara na ang pinto, magsisimula kayong tumayo sa labas at tutuktok sa pintuan, na magsasabi, ‘Panginoon, pagbuksan mo kami.’ At siya'y sasagot sa inyo, ‘Hindi ko alam kung saan kayo nanggaling.’",kapag tumayo na ang mayari ng bahay at maisara na ang pinto magsisimula kayong tumayo sa labas at tutuktok sa pintuan na magsasabi panginoon pagbuksan mo kami at siyay sasagot sa inyo hindi ko alam kung saan kayo nanggaling,13.779237672009723
Leviticus,26,44,"Balet anggaman ontan, no wala ni rad dalin na saray kalaban da, ag ko ra sigput ya ikaindan, ni deralen. Ta no sigput ko ran ikaindan mangangga so impisipanan kod sikara, et siak so Katawan a Dios da.",balet anggaman ontan no wala ni rad dalin na saray kalaban da ag ko ra sigput ya ikaindan ni deralen ta no sigput ko ran ikaindan mangangga so impisipanan kod sikara et siak so katawan a dios da,alagad mantang yaon pa sinda sa daga kan saindang mga kaiwal dai ko sinda papabayaan o raraoton huli ta kun talikodan ko na sinda an tipan na ginibo ko sainda ako an kagurangnan na saindang dios,gayunmay hindi ko sila iiwan o lilipulin man sa lupain ng kanilang mga kaaway kundi aking aalisin ang aking tipan sa kanila sapagkat ako ang panginoon nilang diyos,"Subalit sa kabila ng lahat ng iyon, kapag sila'y nasa lupain ng kanilang mga kaaway ay hindi ko sila itatakuwil, ni kapopootan ko sila upang sila'y lipulin, upang sirain ang aking tipan sa kanila; sapagkat ako ang Panginoon nilang Diyos;",subalit sa kabila ng lahat ng iyon kapag silay nasa lupain ng kanilang mga kaaway ay hindi ko sila itatakuwil ni kapopootan ko sila upang silay lipulin upang sirain ang aking tipan sa kanila sapagkat ako ang panginoon nilang diyos,35.13891424182377
2 Samuel,10,12,Mampabiskeg kayoy linawa! Pasiaen tayoy mibakal para saray totoo tayo tan para saray siudad na Dios tayo. Say linawa na Katawan komun so nagawa!”,mampabiskeg kayoy linawa pasiaen tayoy mibakal para saray totoo tayo tan para saray siudad na dios tayo say linawa na katawan komun so nagawa,magmaisog kamo asin makilaban kita para sa satong banwaan asin para sa mga syudad nin satong dios gibohon logod an kabotan nin kagurangnan ,magpakalakas kayo at tayoy lumaban para sa ating bayan at para sa mga lunsod ng ating diyos at gawin nawa ang kalooban ng panginoon ,"Magpakatapang ka, at tayo'y magpakalalaki para sa ating bayan, at para sa mga lunsod ng ating Diyos; at gawin nawa ng Panginoon ang inaakala niyang mabuti.”",magpakatapang ka at tayoy magpakalalaki para sa ating bayan at para sa mga lunsod ng ating diyos at gawin nawa ng panginoon ang inaakala niyang mabuti,61.19728764903164
Deuteronomy,1,6,"“Nen wala itayo nid Palandey na Sinai, say Katawan a Dios tayo inkuantod sikatayo, ‘Abayag lay panaayam yo diad sayan palandey.",nen wala itayo nid palandey na sinai say katawan a dios tayo inkuantod sikatayo abayag lay panaayam yo diad sayan palandey,kan kita yaon pa sa bukid nin sinai nagtaram sato an kagurangnan na satong dios haloy nang nagerok kamo sa bukid na ini,ang panginoon nating diyos ay nagsalita sa atin sa horeb na sinasabi matagal na kayong nanirahan sa bundok na ito,"“Ang Panginoon nating Diyos ay nagsalita sa atin sa Horeb, na nagsasabi, ‘Kayo'y matagal nang naninirahan sa bundok na ito.",ang panginoon nating diyos ay nagsalita sa atin sa horeb na nagsasabi kayoy matagal nang naninirahan sa bundok na ito,64.87066897882097
Exodus,32,17,"Nadngel nen Josue a maneeyag iray totoo tan kuantod kinen Moises, “Narerengel koy eyag na bakal ed kampo.”",nadngel nen josue a maneeyag iray totoo tan kuantod kinen moises narerengel koy eyag na bakal ed kampo,nadangog ni josue an ribok kan mga tawo kaya nagsabi siya ki moises nadadangog ko an ribok nin gera sa kampo,narinig ni josue ang ingay ng bayan kayat sinabi niya kay moises narinig ko ang ingay ng digmaan sa kampo,"Nang marinig ni Josue ang ingay ng bayan habang sila'y nagsisigawan, sinabi niya kay Moises, “May ingay ng digmaan sa kampo.”",nang marinig ni josue ang ingay ng bayan habang silay nagsisigawan sinabi niya kay moises may ingay ng digmaan sa kampo,51.14763842249072
Deuteronomy,10,13,tan tombuk yo ray amin a ganggan to. Iiter ko natan ira yan ganggan ed sikayo ya onkanan pankaabigan yo.,tan tombuk yo ray amin a ganggan to iiter ko natan ira yan ganggan ed sikayo ya onkanan pankaabigan yo,asin kuyogon nindo an gabos niyang togon asin pagboot itatao ko saindo ngunyan an mga togon na ini para sa saindong karahayan,kung iyong tutuparin ang kanyang mga utos at ang kanyang mga tuntunin na aking iniuutos sa iyo sa araw na ito upang ikaw ay maging mabuti,"na tuparin ang mga utos ng Panginoon , at ang kanyang mga tuntunin na aking iniuutos sa iyo sa araw na ito para sa iyong ikabubuti.",na tuparin ang mga utos ng panginoon  at ang kanyang mga tuntunin na aking iniuutos sa iyo sa araw na ito para sa iyong ikabubuti,55.1798492170875
Zechariah,2,4,"Kuantod samay inmabet, “Batik ka, ta ibagam ed samay lakin tobun-balo a sankaawit toy panagsukat, a nawalaan na amayamay a totoo tan baka so Jerusalem, kanyan diad gaway kaawang to ag nayarin paliberay padir.",kuantod samay inmabet batik ka ta ibagam ed samay lakin tobunbalo a sankaawit toy panagsukat a nawalaan na amayamay a totoo tan baka so jerusalem kanyan diad gaway kaawang to ag nayarin paliberay padir,sinabihan niya an nagsasabat saiya dumulag ka asin sabihan mo an hoben na dara an takadan na an jerusalem magkakaigwa nin dakul na tawo saka mga hayop kaya an lanob kan syudad dai pwedeng maglibot sa kudal,at kanyang sinabi sa taong sumalubong sa kanya tumakas ka at sabihin mo sa kabataang nagdadala ng takalan na ang jerusalem ay magiging napakarami ng tao at hayop at ang pader ay hindi maaaring makilos sa palibot nito,"Sinabi sa kanya, “Tumakbo ka, sabihin mo sa binatang ito, ‘Ang Jerusalem ay titirhan na parang mga nayon na walang mga pader, dahil sa dami ng mga tao at hayop doon.",sinabi sa kanya tumakbo ka sabihin mo sa binatang ito ang jerusalem ay titirhan na parang mga nayon na walang mga pader dahil sa dami ng mga tao at hayop doon,10.3590177065932
1 Kings,6,19,"Agawa so bandad dalem a kuarto ed beneg na dalem na Timplo, tan diay getma ran panginan na Kaban na Sipanan na Katawan .",agawa so bandad dalem a kuarto ed beneg na dalem na timplo tan diay getma ran panginan na kaban na sipanan na katawan ,an pinakalaog na kwarto iyo an pinakalaog na kwarto kan templo saen ibinugtak an kaban nin tipan nin kagurangnan ,ang pinakaloob na silid ng bahay na kinaroroonan ng kaban ng tipan ng panginoon ,"Inihanda niya ang panloob na santuwaryo sa kaloob-looban ng bahay, upang ilagay roon ang kaban ng tipan ng Panginoon .",inihanda niya ang panloob na santuwaryo sa kalooblooban ng bahay upang ilagay roon ang kaban ng tipan ng panginoon ,22.781086817809637
Acts,8,25,"Kasumpal di Pedro tan Juan a nantatasi tan nampupulong na salitay Katawan ed siudad na Samaria, pinmawil irad Jerusalem. Diad dalan, intuloy dan impupulong ed amayamay a bario na Samaria so Maung a Balita.",kasumpal di pedro tan juan a nantatasi tan nampupulong na salitay katawan ed siudad na samaria pinmawil irad jerusalem diad dalan intuloy dan impupulong ed amayamay a bario na samaria so maung a balita,pakatapos na magsaksi saka maghulit si pedro saka si juan kan tataramon nin kagurangnan nagbalik sinda sa jerusalem nagpadagos sinda sa paghulit kan marahay na bareta sa dakul na baryo kan samaria,pagkatapos nilang makapagpatotoo at maipangaral ang salita ng panginoon bumalik sila sa jerusalem at ipinangaral ang ebanghelyo sa maraming nayon ng mga samaritano,"Sina Pedro at Juan, pagkatapos na makapagpatotoo at masabi na nila ang salita ng Panginoon, ay bumalik sa Jerusalem na ipinangaral ang ebanghelyo sa maraming nayon ng mga Samaritano.",sina pedro at juan pagkatapos na makapagpatotoo at masabi na nila ang salita ng panginoon ay bumalik sa jerusalem na ipinangaral ang ebanghelyo sa maraming nayon ng mga samaritano,40.59142611940709
1 Chronicles,21,1,"Nilabay nen Satanas ya itday gunigon iray totood Israel, kanyan tinangguyor toy David ya alaen toy bilang da.",nilabay nen satanas ya itday gunigon iray totood israel kanyan tinangguyor toy david ya alaen toy bilang da,boot ni satanas na darahon nin kasakitan an banwaan nin israel kaya dinagka niya si david na kuahon an bilang ninda,kayat si satanas ay nagsikap na gawan ng masama ang israel at ipinagbili si david upang kunin ang kanilang bilang,"Si Satanas ay tumayo laban sa Israel, at inudyukan si David na bilangin ang sambayanang Israel.",si satanas ay tumayo laban sa israel at inudyukan si david na bilangin ang sambayanang israel,11.154288433080788
1 Samuel,26,8,"Inkuanen Abisai ed kinen David, “Natan ed sayan labi impasilong na Dios ed pakayarim so kalaban mo. Iyabuloy mon say pika ton dili so idoyuk kod sikato tan ipanek kod dalin diad maminsan labat a doyuk—ag la nakaukolay mamidwa!”",inkuanen abisai ed kinen david natan ed sayan labi impasilong na dios ed pakayarim so kalaban mo iyabuloy mon say pika ton dili so idoyuk kod sikato tan ipanek kod dalin diad maminsan labat a doyukag la nakaukolay mamidwa,sinabihan ni abisai si david ngunyan na banggi itinao na nin dios sa saimong kamot an saimong kaiwal tugote akong ihugkot saiya an saiyang garod asin ihugkot iyan sa daga sa sarong hampak na sana kaipuhan nin doble,nang magkagayoy sinabi ni abisai kay david sa gabing ito ibinigay ng diyos ang iyong kaaway sa iyong kamay hayaan mong saktan ko siya ng kanyang sibat at ihagis ko sa lupa sa pamamagitan ng isang humahawak na dalawang humahawak,"Nang magkagayo'y sinabi ni Abisai kay David, “Ibinigay ng Diyos ang iyong kaaway sa iyong kamay sa araw na ito. Ngayo'y hayaan mong tuhugin ko siya ng sibat sa lupa sa isang saksak, at hindi ko siya uulusin ng dalawang ulit.”",nang magkagayoy sinabi ni abisai kay david ibinigay ng diyos ang iyong kaaway sa iyong kamay sa araw na ito ngayoy hayaan mong tuhugin ko siya ng sibat sa lupa sa isang saksak at hindi ko siya uulusin ng dalawang ulit,43.62285165786942
Job,6,20,balet naandian iray ilalo diad gilig na saray amagaan a kolus.,balet naandian iray ilalo diad gilig na saray amagaan a kolus,alagad nawaraan nin paglaom an mga tawong idto sa tampi kan mamarang mga sapa,ngunit ang mga tao sa tabi ng tuyong ilog ay nawala ng pagasa,"Sila'y nabigo, sapagkat sila'y nagtiwala; sila'y pumaroon at sila'y nalito.",silay nabigo sapagkat silay nagtiwala silay pumaroon at silay nalito,0.0
2 Corinthians,5,16,"Kanyan natan, say pangamta miy siopaman et aliwa lan onung ed panagsintinsiay too. Nen inmona, onyay impangamta mid Cristo, balet aliwa lan onya natan.",kanyan natan say pangamta miy siopaman et aliwa lan onung ed panagsintinsiay too nen inmona onyay impangamta mid cristo balet aliwa lan onya natan,kaya ngunyan dai na kami naghuhukom sa kiisay man sosog sa kinabanon na paghukom kaidto naghuhukom kami ki cristo siring kaidto alagad ngunyan bako nang arog kaini,kayat ngayon ay hindi na kami humahatol sa kanino man ayon sa laman sapagkat kung paanong kami ay humahatol kay cristo ngayon ay hindi na kami humahatol sa gayon,"Kaya't mula ngayon ay hindi namin kinikilala ang sinuman ayon sa pananaw ng laman, bagaman kinikilala namin si Cristo ayon sa pananaw ng laman, ngunit ngayon ay hindi na gayon ang aming pagkakilala.",kayat mula ngayon ay hindi namin kinikilala ang sinuman ayon sa pananaw ng laman bagaman kinikilala namin si cristo ayon sa pananaw ng laman ngunit ngayon ay hindi na gayon ang aming pagkakilala,12.632059501697883
Psalms,138,8,"Sumpalen mon amin iray insipan mod siak; Katawan , andi-anggaan so panangarom. Sumpal mo pay kimey ya inggapom.",sumpalen mon amin iray insipan mod siak katawan  andianggaan so panangarom sumpal mo pay kimey ya inggapom,otoba an gabos mong panuga sako kagurangnan an danay mong pagkamoot mayo nin kataposan taposon mo an trabaho na saimong pinonan,o panginoon tuparin mo ang iyong mga salita sapagkat ang iyong tapat na pagibig ay magpakailanman tuparin mo ang gawa na iyong inihanda,"Tutuparin ng Panginoon ang kanyang layunin para sa akin; ang iyong tapat na pag-ibig, O Panginoon , ay magpakailanman. Huwag mong pabayaan ang mga gawa ng iyong mga kamay.",tutuparin ng panginoon ang kanyang layunin para sa akin ang iyong tapat na pagibig o panginoon  ay magpakailanman huwag mong pabayaan ang mga gawa ng iyong mga kamay,18.45366089826778
Matthew,23,10,"Ag kayo met patatawag na ‘Pangulo,’ ta saksakey so Pangulo yo a si Cristo.",ag kayo met patatawag na pangulo ta saksakey so pangulo yo a si cristo,dai kamo dapat apodon na mga lider huli ta saro sana an saindong lider an cristo,ni huwag kayong tawaging mga pinuno sapagkat iisa ang inyong pinuno ang cristo,"Ni huwag kayong patawag na mga panginoon; sapagka't iisa ang inyong panginoon, sa makatuwid baga'y ang Cristo.",ni huwag kayong patawag na mga panginoon sapagkat iisa ang inyong panginoon sa makatuwid bagay ang cristo,23.52663062804829
Luke,17,26,Say panaon ya isabiy Anak na Too et singa samay panaon nen Noe.,say panaon ya isabiy anak na too et singa samay panaon nen noe,siring kan mga aldaw ni noe an mangyayari sa aldaw kan aki nin tawo,at kung paano ang mga araw ni noe gayon din naman ang mga araw ng anak ng tao,"At kung paano ang nangyari sa mga kaarawan ni Noe, ay gayon din naman ang mangyayari sa mga kaarawan ng Anak ng tao.",at kung paano ang nangyari sa mga kaarawan ni noe ay gayon din naman ang mangyayari sa mga kaarawan ng anak ng tao,33.707581931002736
Deuteronomy,11,21,Diad satan sikayo tan saray anak yo et mambilay na andokey ed dalin ya insipan na Katawan a Dios yo ya iter tod saray lalaki yo. Manayam kayod man legan a walay tawen ed tagey na dalin.,diad satan sikayo tan saray anak yo et mambilay na andokey ed dalin ya insipan na katawan a dios yo ya iter tod saray lalaki yo manayam kayod man legan a walay tawen ed tagey na dalin,tanganing maghalawig an saindong buhay asin an buhay kan saindong mga aki duman sa daga na ipinanuga nin kagurangnan na saindong dios na itatao sa saindong mga ginikanan magerok kamo duman sagkod na igwa nin kalangitan sa ibabaw kan daga,upang ikaw at ang iyong mga anak ay mabuhay nang matagal sa lupain na ipinangako ng panginoon mong diyos sa iyong mga ninuno na ibibigay sa kanila at upang ang mga langit ay maging mataas sa ibabaw ng lupa,"upang dumami ang inyong mga araw at ang mga araw ng inyong mga anak, sa lupain na ipinangako ng Panginoon sa inyong mga ninuno na ibibigay sa kanila, gaya ng mga araw ng langit sa ibabaw ng lupa.",upang dumami ang inyong mga araw at ang mga araw ng inyong mga anak sa lupain na ipinangako ng panginoon sa inyong mga ninuno na ibibigay sa kanila gaya ng mga araw ng langit sa ibabaw ng lupa,34.510511853645745
1 Kings,2,38,"“Maung itan so imbagam, Kagalang ya Ari,” ebat nen Simei. “Gawaen ko so labay mo.” Kanyan abayag a nanayam ed Jerusalem si Simei.",maung itan so imbagam kagalang ya ari ebat nen simei gawaen ko so labay mo kanyan abayag a nanayam ed jerusalem si simei,marahay an sinabi mo mahal na hade an simbag ni simei gigibohon ko an boot mo kaya nagontok si simei sa jerusalem sa haloy na panahon,sumagot si shimei sa hari mabuti ang sinabi ng aking panginoong hari gagawin ko ang ayon sa iyong kalooban at si shimei ay nanirahan sa jerusalem ng maraming araw,"At sinabi ni Shimei sa hari, “Ang sinabi mo ay mabuti. Kung paanong sinabi ng aking panginoong hari, gayon gagawin ng iyong lingkod.” At si Shimei ay tumira sa Jerusalem ng maraming araw.",at sinabi ni shimei sa hari ang sinabi mo ay mabuti kung paanong sinabi ng aking panginoong hari gayon gagawin ng iyong lingkod at si shimei ay tumira sa jerusalem ng maraming araw,34.00274578493129
Exodus,38,4,"Nanggawa na gansan parilya tan inlira tod silong na pinagkakuadro na altar, et asabi to so kapaldua na altar.",nanggawa na gansan parilya tan inlira tod silong na pinagkakuadro na altar et asabi to so kapaldua na altar,naggibo siya nin sarong bronseng parilyang ibinugtak niya sa irarom kan kurtina kan altar asin nakaabot ini sa kabanga kan altar,gumawa siya ng isang parilyang tanso at inilagay sa ilalim ng tabing ng dambana hanggang sa kalahati ng dambana,"At kanyang iginawa ang dambana ng isang parilya, na sala-salang tanso, sa ilalim ng gilid ng dambana, na umaabot hanggang sa kalahatian paibaba.",at kanyang iginawa ang dambana ng isang parilya na salasalang tanso sa ilalim ng gilid ng dambana na umaabot hanggang sa kalahatian paibaba,10.856782661590053
Matthew,11,4,"Inkuanen Jesus ed sikara, “Pawil kayod kinen Juan tan ibaga yoy narerengel tan nanenengneng yo:",inkuanen jesus ed sikara pawil kayod kinen juan tan ibaga yoy narerengel tan nanenengneng yo,nagsimbag si jesus magpuli na kamo asin sabihan nindo si juan kan saindong nadadangog saka nahihiling,sumagot si jesus at sa kanilay sinabi humayo kayo at sabihin ninyo kay juan ang mga bagay na inyong naririnig at nakikita,"Sumagot si Jesus at sinabi sa kanila, “Humayo kayo at sabihin ninyo kay Juan ang inyong naririnig at nakikita:",sumagot si jesus at sinabi sa kanila humayo kayo at sabihin ninyo kay juan ang inyong naririnig at nakikita,55.267787782058676
John,11,33,Atenyeg so puso nen Jesus tan agunigon nen anengneng ton mannangnangis si Maria tan saray Judion kakaiba to.,atenyeg so puso nen jesus tan agunigon nen anengneng ton mannangnangis si maria tan saray judion kakaiba to,napurisaw nin marahay si jesus kan mahiling niyang nagtatangis si maria asin an mga judio na kaiba niya,nang makita ni jesus na siyay tumatangis at ang mga judio na kasama niya ay tumangis na lubha,"Nang makita nga ni Jesus na siya'y tumatangis, at gayon din ang mga Judiong nagsisitangis na kasama niyang dumating, ay nalagim siya sa espiritu, at nagulumihanan,",nang makita nga ni jesus na siyay tumatangis at gayon din ang mga judiong nagsisitangis na kasama niyang dumating ay nalagim siya sa espiritu at nagulumihanan,23.149984765456583
Matthew,2,17,"Diad sayan agawa, asumpal so inkuanen propita Jeremias:",diad sayan agawa asumpal so inkuanen propita jeremias,nangyari ini tanganing maotob an sinabi ni propeta jeremias,nangyari ito upang matupad ang sinabi sa pamamagitan ng propeta jeremias,"Nang magkagayo'y naganap ang sinalita sa pamamagitan ng propeta Jeremias, na nagsasabi,",nang magkagayoy naganap ang sinalita sa pamamagitan ng propeta jeremias na nagsasabi,33.529572102686124
1 Corinthians,12,22,"Say katwaan to, saray singa anggapoy kanan kabyangay laman et sikara la laingey nakaukolan.",say katwaan to saray singa anggapoy kanan kabyangay laman et sikara la laingey nakaukolan,an mga kabtang kan hawak na pinaghohona kong bakong mahalaga iyo an orog na kaipuhan,ang mga bahagi ng katawan na inaakala kong hindi mahalaga ay lalong kinakailangan,"Sa halip, ang mga bahagi ng katawan na wari'y mahihina ay kailangan.",sa halip ang mga bahagi ng katawan na wariy mahihina ay kailangan,39.553325358771794
2 Samuel,2,15,Kanyan saray labindua ed lalakin walad dapag nen Isboset tan tribu nen Benjamin et nilabanan da ray labindua ed saray lalakin walad dapag nen David.,kanyan saray labindua ed lalakin walad dapag nen isboset tan tribu nen benjamin et nilabanan da ray labindua ed saray lalakin walad dapag nen david,kaya an doseng kalalakihan ni isboset asin kan tribu ni benjamin nagrebelde laban sa doseng kalalakihan ni david,kayat ang labindalawang anak ni isboset at ang labindalawang anak ni benjamin ay naghimagsik laban sa labindalawang anak ni david,"Kaya't sila'y tumindig at tumawid ayon sa bilang; labindalawa para kina Benjamin at Isboset na anak ni Saul, at labindalawa sa mga lingkod ni David.",kayat silay tumindig at tumawid ayon sa bilang labindalawa para kina benjamin at isboset na anak ni saul at labindalawa sa mga lingkod ni david,5.16530241341712
John,1,32,Onyay impamaneknek nen Juan: “Anengneng koy Ispiritun singa malapati ya ondadapon nanlapud tawen tan nanayam ed sikato.,onyay impamaneknek nen juan anengneng koy ispiritun singa malapati ya ondadapon nanlapud tawen tan nanayam ed sikato,nagsaksi si juan nahiling ko an espiritu nin dios na naghilig arog sa salampati hale sa langit asin nagontok sa saiya,nagpatotoo si juan nakita ko ang espiritu na bumababang tulad sa isang kalapati mula sa langit at tumigil sa kanya,"Nagpatotoo si Juan, “Nakita ko ang Espiritu na bumababang tulad sa isang kalapati na buhat sa langit at dumapo sa kanya.",nagpatotoo si juan nakita ko ang espiritu na bumababang tulad sa isang kalapati na buhat sa langit at dumapo sa kanya,69.11069695448371
John,3,33,Say mangawat ed paneknek to paneknekan ton tua so Dios.,say mangawat ed paneknek to paneknekan ton tua so dios,an minaako kan saiyang patotoo nagpapatotoo na totoo an dios,ang tumatanggap ng kanyang patotoo ay nagpapatotoo na ang diyos ay totoo,"Ang tumatanggap ng kaniyang patotoo ay naglagay dito ng kaniyang tatak, na ang Dios ay totoo.",ang tumatanggap ng kaniyang patotoo ay naglagay dito ng kaniyang tatak na ang dios ay totoo,14.947779819150496
2 Corinthians,5,21,"Ag nankasalanay Cristo, balet lapud pankaabigan tayo, nibilang a makasalanan pian diad pikasakey tid sikato, nibilang itayon matonung ed arap na Dios.",ag nankasalanay cristo balet lapud pankaabigan tayo nibilang a makasalanan pian diad pikasakey tid sikato nibilang itayon matonung ed arap na dios,dai nagkasala si cristo alagad huli sato ibinilang siya nin dios na makasalan tanganing magin matanos kita nin dios huli saiya,siya na hindi nagkasala ay ginawa niyang kasalanan alangalang sa atin upang sa pamamagitan niya ay maging katuwiran natin,"Para sa ating kapakanan, ginawa niyang may kasalanan siya na hindi nakakilala ng kasalanan, upang sa kanya tayo'y maging katuwiran ng Diyos.",para sa ating kapakanan ginawa niyang may kasalanan siya na hindi nakakilala ng kasalanan upang sa kanya tayoy maging katuwiran ng diyos,11.197256013333924
Luke,11,29,"Nen ondarakel iray totoon onmomokut ed kinen Jesus inkuanto, “Agaylay kaogsan na totood sayan panaon! Onkekerew iray milagro, balet anggapoy milagron naimatunan da no ag say milagro nen propita Jonas.",nen ondarakel iray totoon onmomokut ed kinen jesus inkuanto agaylay kaogsan na totood sayan panaon onkekerew iray milagro balet anggapoy milagron naimatunan da no ag say milagro nen propita jonas,mantang nagdadakul an mga tawo sa palibot ni jesus nagtaram siya an henerasyon na ini maraot saka maraot naghahagad nin tanda alagad mayo nin tanda na itatao sainda kundi an tanda ni propeta jonas,samantalang nagkakatipon ang napakaraming tao siyay nagpasimulang magsalita na nagsasabi ang isang masamang lahi ay masamang lahi humahanap ng isang tanda ngunit walang tanda na ibibigay sa kanya maliban sa tanda ni jonas,"At nang ang mga karamihan ay nangagkakatipon sa kaniya, ay nagpasimula siyang magsabi, Ang lahing ito'y isang masamang lahi: siya'y humahanap ng isang tanda; at hindi siya bibigyan ng anomang tanda kundi ng tanda ni Jonas.",at nang ang mga karamihan ay nangagkakatipon sa kaniya ay nagpasimula siyang magsabi ang lahing itoy isang masamang lahi siyay humahanap ng isang tanda at hindi siya bibigyan ng anomang tanda kundi ng tanda ni jonas,13.344474320415793
